Company: MCDONALD'S CORPORATION    Ticker Symbol: MCD   Current Price: $32.71, Price Change: 0.81, Percent Change: 2.54, YTD % Chg: 2.03, 52-Week High: $34.70, 52-Week Low: $26.89, P/E Ratio: 16.79
Company: TOOTSIE ROLL INDUSTRIES   Ticker Symbol: TR    Current Price: $32.21, Price Change: -0.23, Percent Change: -0.71, YTD % Chg: -6.99, 52-Week High: $33.86, 52-Week Low: $28.24, P/E Ratio: 25.95
Company: WALGREEN CO               Ticker Symbol: WAG   Current Price: $45.65, Price Change: 0.52, Percent Change: 1.16, YTD % Chg: 18.98, 52-Week High: $49.01, 52-Week Low: $35.05, P/E Ratio: 29.50

Sep 6, 2005 4:52:15 PM ET
Company: ALLSTATE CORPORATION      Ticker Symbol: ALL   Current Price: $55.90, Price Change: 0.37, Percent Change: 0.67, YTD % Chg: 8.08, 52-Week High: $63.22, 52-Week Low: $45.50, P/E Ratio: 10.93
Company: BOEING CO                 Ticker Symbol: BA    Current Price: $65.03, Price Change: 0.69, Percent Change: 1.07, YTD % Chg: 25.61, 52-Week High: $68.38, 52-Week Low: $48.10, P/E Ratio: 30.49
Company: BRUNSWICK CORP            Ticker Symbol: BC    Current Price: $43.32, Price Change: 0.33, Percent Change: 0.77, YTD % Chg: -12.48, 52-Week High: $49.85, 52-Week Low: $39.15, P/E Ratio: 12.46
Company: GRUBB & ELLIS CO          Ticker Symbol: GBEL  Current Price: $6.80, Price Change: 0.00, Percent Change: 0.00, YTD % Chg: 46.24, 52-Week High: $7.30, 52-Week Low: $3.55, P/E Ratio: 8.40
Company: KRAFT FOODS INC CL A      Ticker Symbol: KFT   Current Price: $30.66, Price Change: -0.13, Percent Change: -0.42, YTD % Chg: -13.90, 52-Week High: $36.06, 52-Week Low: $30.11, P/E Ratio: 20.26
Company: MCDONALD'S CORPORATION    Ticker Symbol: MCD   Current Price: $32.66, Price Change: 0.76, Percent Change: 2.38, YTD % Chg: 1.87, 52-Week High: $34.70, 52-Week Low: $26.89, P/E Ratio: 16.79
Company: TOOTSIE ROLL INDUSTRIES   Ticker Symbol: TR    Current Price: $32.31, Price Change: -0.13, Percent Change: -0.40, YTD % Chg: -6.70, 52-Week High: $33.86, 52-Week Low: $28.24, P/E Ratio: 25.95
Company: WALGREEN CO               Ticker Symbol: WAG   Current Price: $45.78, Price Change: 0.65, Percent Change: 1.44, YTD % Chg: 19.31, 52-Week High: $49.01, 52-Week Low: $35.05, P/E Ratio: 29.50

